Star ID,True Star ID,RA,DE,Magnitude,RA (deg),DE (deg)
283,160005,-1.94428682,-0.18269142,2.7,-111.3994289,-10.46744732
286,162511,-1.22708274,-0.3131638,4,-70.30666212,-17.94296404
287,163426,-0.9805203,-0.22167858,3.8,-56.17967492,-12.70124704
289,164559,-0.62254643,-0.29477181,3.8,-35.66928299,-16.88918063
291,165374,-0.29671309,-0.28077461,3.5,-17.00040778,-16.08720015
292,168372,0.82879505,-0.50934244,4,47.48645845,-29.18317214
298,172675,1.81802128,-0.5044498,1.6,104.1649464,-28.90284452
39,30428,-1.70474969,0.91346485,3,-97.67496236,52.33768064
42,31536,-1.23941749,0.92983327,4,-71.01339123,53.27552202
47,34541,-0.39607643,0.87310076,3.9,-22.6935078,50.02498864
48,37374,0.41412562,0.84431592,3.8,23.72765021,48.37573879
5,9086,-1.47498655,1.26905872,3.7,-84.51050415,72.71170861
50,38591,0.80680434,0.711476,2.9,46.22648357,40.76457202
56,39954,1.30190873,0.76360753,3.5,74.59387554,43.75148867
61,42629,2.33784135,0.84193738,3.1,133.9484425,48.23945849
65,43628,2.90972443,0.78138686,3.1,166.7149294,44.77016924
67,44751,-2.68094978,0.86502459,1.9,-153.6071075,49.56225818
68,45336,-2.35592804,0.70837484,3.6,-134.9847335,40.58688865
69,46027,-2.01482946,0.81038352,3.9,-115.4412245,46.43155548
7,10056,-0.66312868,1.22768326,3.3,-37.99447464,70.34106938
72,49336,-0.99459456,0.81312892,4,-56.98607061,46.58885532
79,54057,0.15990547,0.53385642,3.5,9.161908552,30.58771973
9,11481,0.23418858,1.05499035,2.8,13.41801724,60.44649448
90,59569,1.78675698,0.59382195,3.6,102.373634,34.02349152
94,62296,2.83843123,0.60187495,3.9,162.6301299,34.48489443
97,63256,-2.90732015,0.67348775,2.9,-166.5771743,38.58800563
98,64201,-2.48851618,0.5338969,3.8,-142.5814744,30.59003907
